"Treatment_2021","Treatment_2022","PLOT_ID","YEAR","Block_a","Block_b","Treatment order","Order original","unique id","country","plot_number","Anthesis 23-06-2021 Biomass dryweight (kg/ha)","Harvest 06-08-2021 harvestable (grain) yield 15 % moisture (kg/ha)","16-11-2021 Biomass dryweight (kg/ha)","Anthesis 31-05-2022 Biomass dryweight (kg/ha)","Harvest 11-08-2022 harvestable (grain) yield 15 % moisture (kg/ha)","Field sheet order"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1
"BA6","BA6","3c-1",2021,"3a","3b",42,19,82,"denmark","26-82",6321.6,6534.950869,249.08,3722.68,2066.874,2
"BA6","BA6","8b-1",2021,"2a","2b",43,151,87,"denmark","26-87",4733,4162.531315,216.1466667,4204.546667,2570.939511,3
"BA6","BA6","5a-1",2021,"1a","1b",44,44,109,"denmark","26-109",5514.3,4085.267914,149.4133333,2560.48,1818.7442,4
"BIO","BIO","5d-7",2021,"3a","4b",45,60,65,"denmark","26-65",6842.9,5472.110134,176.7133333,3713.146667,2394.144829,5
"BIO","BIO","9c-7",2021,"4a","3b",46,71,72,"denmark","26-72",4302.7,3609.302033,160.68,3343.946667,2704.789121,6
"BIO","BIO","6b-7",2021,"1a","2b",47,52,88,"denmark","26-88",4677.5,3776.330074,186.68,3238.646667,2093.413136,7
"BIO","BIO","14a-7",2021,"2a","1b",48,32,102,"denmark","26-102",6388.3,4449.188928,192.3133333,3310.58,2197.740229,8
"BVC","BVC","11d-9",2021,"4a","4b",49,119,64,"denmark","26-64",3683.9,2749.755496,201.4133333,3452.28,1768.574407,9
"BVC","BVC","1c-9",2021,"3a","3b",50,140,80,"denmark","26-80",5050.6,5080.217513,243.88,3761.68,2060.031972,10
"BVC","BVC","5b-9",2021,"1a","2b",51,11,93,"denmark","26-93",3125.8,3393.756083,168.0466667,2214.68,1467.226744,11
"BVC","BVC","12a-9",2021,"2a","1b",52,37,103,"denmark","26-103",3594.2,3550.407355,137.7133333,3185.78,2695.353843,12
"ECO","ECO","1d-5",2021,"3a","4b",53,27,60,"denmark","26-60",6746.7,8104.245715,339.2133333,3840.113333,2395.022046,13
"ECO","ECO","13c-5",2021,"4a","3b",54,118,81,"denmark","26-81",5819.8,6518.693097,248.6466667,4286.446667,3064.698209,14
