"Treatment_2021","Treatment_2022","PLOT_ID","Block_a","Block_b","country.x","plot_number","timestamp","country.y","count","mean","median","std","Date","Year","Treatment","Yearreal","delta_time"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-03-31,"denmark",40,0.183115728199482,0.183941284460681,0.0172234974535448,2021-03-31,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-04-07,"denmark",40,0.18975832490694,0.18648138520669,0.0212890082324037,2021-04-07,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-04-14,"denmark",39.8333333333333,0.196401352683703,0.193688713014126,0.0198329308380683,2021-04-14,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-04-21,"denmark",39.952380952381,0.190552576666786,0.190365965345076,0.0158524012381565,2021-04-21,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-04-28,"denmark",40,0.214499017181701,0.215599600141658,0.0152695639421323,2021-04-28,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-05-05,"denmark",40,0.268162630890545,0.267319744616224,0.0161028376192246,2021-05-05,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-05-12,"denmark",40,0.305199537622301,0.30390149642501,0.0170690662864791,2021-05-12,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-05-19,"denmark",40,0.354685453506639,0.352959401700132,0.0179084735189594,2021-05-19,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-05-26,"denmark",40,0.478162316339357,0.47612091189339,0.0181788972224153,2021-05-26,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-06-02,"denmark",40,0.525329315946216,0.521597506034942,0.0238073245134382,2021-06-02,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-06-09,"denmark",40,0.540374042811217,0.536988891937115,0.025631744828489,2021-06-09,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-06-16,"denmark",40,0.568524934627392,0.563877058249933,0.0262849320110584,2021-06-16,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-06-23,"denmark",40,0.593117531802919,0.591260549094942,0.024932043833865,2021-06-23,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-06-30,"denmark",40,0.544252482874323,0.544057444312405,0.0282884209951102,2021-06-30,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-07-07,"denmark",40,0.464025930330461,0.463320529582549,0.0261346612467753,2021-07-07,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-07-14,"denmark",40,0.375267239477561,0.373799299935297,0.0192727463234368,2021-07-14,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-07-21,"denmark",40,0.305411144026688,0.304844154843262,0.0162509326556963,2021-07-21,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-07-28,"denmark",40,0.270443429549535,0.270469600955645,0.0147424923876921,2021-07-28,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-08-04,"denmark",40,0.241533065379477,0.239649696567026,0.0122585478824797,2021-08-04,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-08-11,"denmark",39.9914285714286,0.233233544473745,0.233954738658302,0.0094071020588886,2021-08-11,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-08-18,"denmark",39.88,0.210697019100189,0.211593019962311,0.0113268249109387,2021-08-18,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-08-25,"denmark",39.875,0.197523264214396,0.197805656120181,0.0166169231524691,2021-08-25,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-09-01,"denmark",39.9964285714286,0.202457992093904,0.202674772324307,0.0170083086106127,2021-09-01,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-09-08,"denmark",40,0.188086746744328,0.187323436576438,0.0130677430152699,2021-09-08,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-09-15,"denmark",40,0.191091786054048,0.187977826053446,0.0187018179673362,2021-09-15,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-09-22,"denmark",40,0.261641263961792,0.261272192001343,0.0109987928687284,2021-09-22,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-09-29,"denmark",40,0.276431530714035,0.274242142836253,0.0204714625659916,2021-09-29,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-10-06,"denmark",40,0.290950951831681,0.287869779836564,0.0255785803236658,2021-10-06,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-10-13,"denmark",40,0.31945161308561,0.322017394361042,0.0231392842584422,2021-10-13,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-10-20,"denmark",40,0.350402375062307,0.352926968424409,0.0294480505916807,2021-10-20,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-10-27,"denmark",40,0.378895757048308,0.378598202186061,0.0278109105033567,2021-10-27,2021,"CON",2021,7
