"Treatment_2021","Treatment_2022","PLOT_ID","Block_a","Block_b","unique id","country.x","plot_number","Harvest_06082021_harvestable_grain_yield_15_moisture_kgha","Harvest_11082022_harvestable_grain_yield_15_moisture_kgha","timestamp","count","mean","std","Treatment"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-03-31,40,0.183115728199482,0.0172234974535448,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-04-07,40,0.18975832490694,0.0212890082324037,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-04-14,39.8333333333333,0.196401352683703,0.0198329308380683,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-04-21,39.952380952381,0.190552576666786,0.0158524012381565,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-04-28,40,0.214499017181701,0.0152695639421323,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-05-05,40,0.268162630890545,0.0161028376192246,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-05-12,40,0.305199537622301,0.0170690662864791,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-05-19,40,0.354685453506639,0.0179084735189594,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-05-26,40,0.478162316339357,0.0181788972224153,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-06-02,40,0.525329315946216,0.0238073245134382,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-06-09,40,0.540374042811217,0.025631744828489,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-06-16,40,0.568524934627392,0.0262849320110584,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-06-23,40,0.593117531802919,0.024932043833865,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-06-30,40,0.544252482874323,0.0282884209951102,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-07-07,40,0.464025930330461,0.0261346612467753,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-07-14,40,0.375267239477561,0.0192727463234368,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-07-21,40,0.305411144026688,0.0162509326556963,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-07-28,40,0.270443429549535,0.0147424923876921,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-08-04,40,0.241533065379477,0.0122585478824797,"CON"
