"Treatment_2021","Treatment_2022","PLOT_ID","Year_estab","Block_a","Block_b","Treatment order","Order original","unique id","country.x","plot_number","Anthesis_23062021_Biomass_dryweight_kgha","Harvest_06082021_harvestable_grain_yield_15_moisture_kgha","16-11-2021 Biomass dryweight (kg/ha)","Anthesis_31052022_Biomass_dryweight_kgha","Harvest_11082022_harvestable_grain_yield_15_moisture_kgha","Field sheet order","timestamp","country.y","count","max","mean","min","median","std","Date","Year_obs","Treatment","fertiliser_type"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-03-31,"denmark",6,0.201709029929978,0.189401016703674,0.165070826453822,0.194692174238818,0.0125259067197995,2021-03-31,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-04-07,"denmark",6,0.200578507010628,0.188891239210862,0.173978902247487,0.190043422640586,0.0089249933585144,2021-04-07,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-04-14,"denmark",6.16666666666667,0.195438697934151,0.185099013149738,0.17438222716252,0.185795791447163,0.0073672673703792,2021-04-14,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-04-21,"denmark",6.04761904761905,0.210585095609228,0.189640068670823,0.175961022043512,0.186687264857548,0.0117941865326082,2021-04-21,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-04-28,"denmark",6,0.233351788448548,0.219982286839157,0.205861836139645,0.219126095239045,0.0095130584261352,2021-04-28,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-05-05,"denmark",6,0.296630592722642,0.308891189417669,0.273795535167058,0.285951308513943,0.0082385273723814,2021-05-05,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-05-12,"denmark",6,0.343409494349831,0.387308367661067,0.319786484042803,0.331085424674185,0.0080102775981159,2021-05-12,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-05-19,"denmark",6,0.402852453235397,0.465725545904466,0.378005295991898,0.388825530022906,0.0080581731110447,2021-05-19,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-05-26,"denmark",6,0.537644623290925,0.54308893964911,0.509340049255462,0.521804713067554,0.0096343172093232,2021-05-26,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-06-02,"denmark",6,0.595264487323307,0.585202144724982,0.575187766835803,0.584826543217614,0.0068415485078557,2021-06-02,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-06-09,"denmark",6,0.615268493140185,0.606472180949317,0.596571675053349,0.606541534264882,0.006549784430751,2021-06-09,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-06-16,"denmark",6,0.627590366614559,0.619112968917877,0.610730165842349,0.619207072825659,0.0058422564657,2021-06-16,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-06-23,"denmark",6,0.595169299178653,0.579592559072706,0.56460083855523,0.577344632811016,0.0104485229692525,2021-06-23,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-06-30,"denmark",6,0.542091714416772,0.530174315921844,0.517834167530477,0.529069238238865,0.0089144381629028,2021-06-30,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-07-07,"denmark",6,0.447582534533374,0.431325291948659,0.416932610604836,0.429613021715563,0.0110619412236181,2021-07-07,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-07-14,"denmark",6,0.372770543229215,0.35519285553268,0.343120150116025,0.35211571267977,0.0109421076913535,2021-07-14,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-07-21,"denmark",6,0.330742960529668,0.312360836991242,0.295777082443237,0.311885947627681,0.012532205088064,2021-07-21,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-07-28,"denmark",6,0.29962878425916,0.283941000699997,0.270900785923004,0.283218592405319,0.0093476010176042,2021-07-28,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-08-04,"denmark",6,0.279946492997562,0.268197563837986,0.255658499744474,0.268487248037543,0.0073567157940698,2021-08-04,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-08-11,"denmark",6.00857142857143,0.283833880521813,0.274120956622824,0.260615690885758,0.275151040979794,0.007872064188883,2021-08-11,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-08-18,"denmark",6.12,0.311193308830261,0.297125811576843,0.281948719024658,0.297401682138443,0.0100457475334405,2021-08-18,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-08-25,"denmark",6.125,0.339112192392349,0.321721665561199,0.307773377746344,0.320880208164454,0.0108666927553713,2021-08-25,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-09-01,"denmark",6.00357142857143,0.340694622198741,0.32419045414953,0.310783083169233,0.324046099931002,0.0103264130851519,2021-09-01,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-09-08,"denmark",6,0.278738734268007,0.26119100941079,0.241570382955528,0.264978901261375,0.0128482845390126,2021-09-08,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-09-15,"denmark",6,0.238891581694285,0.223745423058669,0.20649104565382,0.227227186163266,0.0109016381514569,2021-09-15,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-09-22,"denmark",6,0.222282451887925,0.201559998095035,0.183749499420325,0.198954880237579,0.0147454529845466,2021-09-22,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-09-29,"denmark",6,0.248311253057586,0.226555615663528,0.201126196318202,0.22765122850736,0.0168946667367385,2021-09-29,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-10-06,"denmark",6,0.275921637221934,0.252014651894569,0.220377287576123,0.255849194668588,0.0187625384054309,2021-10-06,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-10-13,"denmark",6,0.308130909999212,0.283323482388542,0.255793233712514,0.285628420966012,0.017073686367699,2021-10-13,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-10-20,"denmark",6,0.325114016349499,0.306183796662551,0.283253157368073,0.309151919988485,0.0144193469761655,2021-10-20,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-10-27,"denmark",6,0.335411231459934,0.321760518633293,0.303716044572793,0.325337134847492,0.0119805585289367,2021-10-27,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-11-03,"denmark",6,0.365471509595712,0.349671809623639,0.327364594986041,0.353438454369704,0.013987306660662,2021-11-03,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-11-10,"denmark",6,0.404514998197555,0.383189722895622,0.35246117413044,0.386956185102463,0.0180147532373666,2021-11-10,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-11-17,"denmark",6,0.443558486799399,0.416707636167606,0.377557753274838,0.420473915835222,0.0220421998140712,2021-11-17,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-11-24,"denmark",6,0.467798741763377,0.437351456072179,0.392727520740469,0.440989672285111,0.0246633365793337,2021-11-24,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-12-01,"denmark",6,0.45947188272405,0.429672270568449,0.386058302512809,0.432901085312687,0.0241905917594237,2021-12-01,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-12-08,"denmark",6,0.450158141442199,0.421134812173559,0.378727296839899,0.423945700054738,0.0236240929520841,2021-12-08,2021,"BA6","bbf"
