"Treatment_2021","Treatment_2022","PLOT_ID","Year_estab","Block_a","Block_b","Treatment order","Order original","unique id","country.x","plot_number","Anthesis 23-06-2021 Biomass dryweight (kg/ha)","Harvest 06-08-2021 harvestable (grain) yield 15 % moisture (kg/ha)","16-11-2021 Biomass dryweight (kg/ha)","Anthesis 31-05-2022 Biomass dryweight (kg/ha)","Harvest 11-08-2022 harvestable (grain) yield 15 % moisture (kg/ha)","Field sheet order","timestamp","country.y","count","max","mean","min","median","std","Date","Year_obs","Treatment","Yearreal","fertiliser_type"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-09-01","denmark",6.00357142857143,0.340694622198741,0.32419045414953,0.310783083169233,0.324046099931002,0.0103264130851519,2021-09-01,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-09-08","denmark",6,0.278738734268007,0.26119100941079,0.241570382955528,0.264978901261375,0.0128482845390126,2021-09-08,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-09-15","denmark",6,0.238891581694285,0.223745423058669,0.20649104565382,0.227227186163266,0.0109016381514569,2021-09-15,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-09-22","denmark",6,0.222282451887925,0.201559998095035,0.183749499420325,0.198954880237579,0.0147454529845466,2021-09-22,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-09-29","denmark",6,0.248311253057586,0.226555615663528,0.201126196318202,0.22765122850736,0.0168946667367385,2021-09-29,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-10-06","denmark",6,0.275921637221934,0.252014651894569,0.220377287576123,0.255849194668588,0.0187625384054309,2021-10-06,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-10-13","denmark",6,0.308130909999212,0.283323482388542,0.255793233712514,0.285628420966012,0.017073686367699,2021-10-13,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-10-20","denmark",6,0.325114016349499,0.306183796662551,0.283253157368073,0.309151919988485,0.0144193469761655,2021-10-20,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-10-27","denmark",6,0.335411231459934,0.321760518633293,0.303716044572793,0.325337134847492,0.0119805585289367,2021-10-27,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-11-03","denmark",6,0.365471509595712,0.349671809623639,0.327364594986041,0.353438454369704,0.013987306660662,2021-11-03,2021,"BA6","2021","bbf"
