PLOT_ID,T_2021,T_2022,date,count,mean,std,cv
6-a,Kontrol 2021,Mineral N 2022,20220412,450113,0.247654310543113,0.0370527141861976,0.14961465481840366
6-a,Kontrol 2021,Mineral N 2022,20220517,459643,0.600615952259417,0.0357760908126604,0.059565668674094845
6-a,Kontrol 2021,Mineral N 2022,20220529,459745,0.665145449869385,0.0335308606120184,0.05041132073985152
6-a,Kontrol 2021,Mineral N 2022,20220624,468176,0.564939065251146,0.0374403321135031,0.06627322204538794
3-a,Kontrol 2021,Mineral N 2022,20220412,450114,0.26616960255361,0.0397294057219889,0.14926349718686185
3-a,Kontrol 2021,Mineral N 2022,20220517,459641,0.61963259670322,0.0318895046882301,0.051465182525741025
3-a,Kontrol 2021,Mineral N 2022,20220529,459744,0.680781348865525,0.0319702871348703,0.04696116776428522
3-a,Kontrol 2021,Mineral N 2022,20220624,468182,0.582473301506942,0.0375611591434789,0.06448563229645513
4-a,Kontrol 2021,Mineral N 2022,20220412,450111,0.256523697774573,0.0414835035507863,0.16171411807435052
4-a,Kontrol 2021,Mineral N 2022,20220517,459641,0.609681726902261,0.0341420267654824,0.05599975406669152
4-a,Kontrol 2021,Mineral N 2022,20220529,459747,0.674885879336396,0.0335106378798042,0.04965378430017627
4-a,Kontrol 2021,Mineral N 2022,20220624,468182,0.573570839092353,0.040081687930355,0.06988097232031924
5-a,Kontrol 2021,Mineral N 2022,20220412,450113,0.257520314185261,0.0378652249607191,0.14703781750389883
5-a,Kontrol 2021,Mineral N 2022,20220517,459642,0.60961321687193,0.0321792620985487,0.05278635896982044
5-a,Kontrol 2021,Mineral N 2022,20220529,459744,0.674154905144421,0.0326587628597276,0.04844400390846562
5-a,Kontrol 2021,Mineral N 2022,20220624,468179,0.57088185795413,0.0364652836444239,0.06387535903681468
7-a,Kontrol 2021,Mineral N 2022,20220412,450113,0.285464313697039,0.0379554900253219,0.13296054254124304
7-a,Kontrol 2021,Mineral N 2022,20220517,459642,0.628759614299666,0.0303499933379808,0.048269629040640055
7-a,Kontrol 2021,Mineral N 2022,20220529,459745,0.688830574461035,0.0305907868084203,0.04440974013436554
7-a,Kontrol 2021,Mineral N 2022,20220624,468177,0.590717731266624,0.0357337102612254,0.06049202244971511
8-a,Kontrol 2021,Mineral N 2022,20220412,450114,0.297580827317976,0.0383750896865043,0.12895686201416165
8-a,Kontrol 2021,Mineral N 2022,20220517,459642,0.638233590246883,0.029183122199468,0.0457248296633515
8-a,Kontrol 2021,Mineral N 2022,20220529,459742,0.695212396726376,0.0303135673515332,0.043603318200702505
8-a,Kontrol 2021,Mineral N 2022,20220624,468178,0.599766949867549,0.0353994706475493,0.05902204290410939
9-a,Kontrol 2021,Mineral N 2022,20220412,450113,0.29276531528027,0.0389396566589667,0.13300638643511783
9-a,Kontrol 2021,Mineral N 2022,20220517,459642,0.632241111698919,0.0308871583583433,0.048853448133648336
9-a,Kontrol 2021,Mineral N 2022,20220529,459744,0.692204736241801,0.0315904779216537,0.04563747727755869
9-a,Kontrol 2021,Mineral N 2022,20220624,468181,0.599501721935329,0.0358282590454732,0.059763396391608964
1-a,Kontrol 2021,Mineral N 2022,20220412,450109,0.2961822479339,0.0352802947582865,0.11911684445774116
1-a,Kontrol 2021,Mineral N 2022,20220517,459642,0.617783968071753,0.0496854566423139,0.08042529299909439
1-a,Kontrol 2021,Mineral N 2022,20220529,459744,0.684037030389098,0.0397198698046455,0.058066841472093705
1-a,Kontrol 2021,Mineral N 2022,20220624,468181,0.605472731151646,0.0373072470163032,0.061616725406183924
10-a,Kontrol 2021,Mineral N 2022,20220412,450114,0.303439755627882,0.040193748041074,0.13246038890950365
10-a,Kontrol 2021,Mineral N 2022,20220517,459644,0.634665089641781,0.0299244425563379,0.04714997412765828
10-a,Kontrol 2021,Mineral N 2022,20220529,459746,0.693230493652998,0.0308125714397377,0.04444780159246886
10-a,Kontrol 2021,Mineral N 2022,20220624,468183,0.60179049716777,0.0355999100010536,0.05915665031036356
2-a,Kontrol 2021,Mineral N 2022,20220412,450109,0.268571897119911,0.0422174627463511,0.1571924062013905
2-a,Kontrol 2021,Mineral N 2022,20220517,459641,0.608380864329141,0.0579621192962082,0.09527275214371311
2-a,Kontrol 2021,Mineral N 2022,20220529,459743,0.66715377920557,0.0567033809966623,0.08499296978304352
2-a,Kontrol 2021,Mineral N 2022,20220624,468179,0.579438743681084,0.0558564811764074,0.09639756020034126
7-b,OG2 2021,OG2 andet 2022,20220412,450113,0.291029383164799,0.0404319746890606,0.1389274658434248
7-b,OG2 2021,OG2 andet 2022,20220517,459642,0.596009530581596,0.0344965480463663,0.05787918863093346
7-b,OG2 2021,OG2 andet 2022,20220529,459746,0.577578854064019,0.0424115700786289,0.07342992178506588
7-b,OG2 2021,OG2 andet 2022,20220624,468182,0.466958964464996,0.0410224281841346,0.08785017807964089
