"PLOT_ID","Block_a","Block_b","Treatment_ID","Treatment_2021","Treatment_2022","year_estab","date","count","mean","std","cv","fertiliser_type"
"1h-7","7a","8b",7,"BIO","BIO",2022,20220412,74143,0.20371982147505,0.0301635447803806,0.148063868120338,"bbf"
"1h-7","7a","8b",7,"BIO","BIO",2022,20220517,75996,0.351003372824985,0.0408920316292613,0.116500395139082,"bbf"
"1h-7","7a","8b",7,"BIO","BIO",2022,20220529,72315,0.344725655064719,0.0373491525041115,0.108344568950343,"bbf"
"1h-7","7a","8b",7,"BIO","BIO",2022,20220624,76140,0.280134739480778,0.037230574004429,0.132902381451993,"bbf"
"5h-13","7a","8b",13,"REF_3","REF_3",2022,20220412,74142,0.214010127526265,0.0311929031076132,0.145754331667248,"mineral"
"5h-13","7a","8b",13,"REF_3","REF_3",2022,20220517,75996,0.493972924175653,0.0657063468020018,0.133016089721219,"mineral"
"5h-13","7a","8b",13,"REF_3","REF_3",2022,20220529,72320,0.469816519882513,0.0621946008421306,0.132380617134714,"mineral"
"5h-13","7a","8b",13,"REF_3","REF_3",2022,20220624,76139,0.314030391666524,0.0467165762131969,0.148764506407413,"mineral"
"14h-4","8a","8b",4,"MO13","MO13",2022,20220412,74144,0.247001000601247,0.0295976063011018,0.119827880166702,"bbf"
"14h-4","8a","8b",4,"MO13","MO13",2022,20220517,75997,0.432082710775424,0.0388611839198807,0.0899392244835246,"bbf"
"14h-4","8a","8b",4,"MO13","MO13",2022,20220529,72319,0.40389165496642,0.0378441183782095,0.0936986885291203,"bbf"
"14h-4","8a","8b",4,"MO13","MO13",2022,20220624,76139,0.378316804329439,0.0436110339125071,0.115276491589653,"bbf"
"8h-8","8a","8b",8,"SDG","SDG",2022,20220412,74143,0.224701563105715,0.0313025533109265,0.139307234352436,"bbf"
"8h-8","8a","8b",8,"SDG","SDG",2022,20220517,75997,0.49590669100811,0.0435045678989233,0.0877273259017427,"bbf"
"8h-8","8a","8b",8,"SDG","SDG",2022,20220529,72315,0.473047852845045,0.0506131953179169,0.106993816827441,"bbf"
"8h-8","8a","8b",8,"SDG","SDG",2022,20220624,76137,0.376871701369334,0.0478853099449232,0.127059977628821,"bbf"
"2h-2","7a","8b",2,"PAL","PAL",2022,20220412,74142,0.209203001754786,0.0304089560623175,0.145356212899664,"bbf"
"2h-2","7a","8b",2,"PAL","PAL",2022,20220517,76002,0.418009843592877,0.0499790269235589,0.11956423440649,"bbf"
"2h-2","7a","8b",2,"PAL","PAL",2022,20220529,72320,0.399970804610232,0.0468254240269252,0.117072104981653,"bbf"
"2h-2","7a","8b",2,"PAL","PAL",2022,20220624,76141,0.333803649661058,0.046670000086458,0.139812731627849,"bbf"
"13h-3","8a","8b",3,"FEK","FEK",2022,20220412,74144,0.253311491346073,0.028243416989059,0.111496785396415,"bbf"
"13h-3","8a","8b",3,"FEK","FEK",2022,20220517,75995,0.482358445795094,0.0367381528677408,0.0761635940823708,"bbf"
"13h-3","8a","8b",3,"FEK","FEK",2022,20220529,72320,0.473425449120227,0.0401869066272468,0.0848853957934173,"bbf"
"13h-3","8a","8b",3,"FEK","FEK",2022,20220624,76138,0.422391722917568,0.0418486413156746,0.0990754293825061,"bbf"
"11h-11","8a","8b",11,"REF_1","REF_1",2022,20220412,74144,0.192650809048614,0.034812627704774,0.180703252048058,"control"
"11h-11","8a","8b",11,"REF_1","REF_1",2022,20220517,76001,0.297235837828874,0.0384805953595069,0.129461493070903,"control"
"11h-11","8a","8b",11,"REF_1","REF_1",2022,20220529,72320,0.271806486003694,0.0292795991312393,0.107722223857606,"control"
"11h-11","8a","8b",11,"REF_1","REF_1",2022,20220624,76141,0.220820789413851,0.0267073752045448,0.120945927579723,"control"
"4h-1","7a","8b",1,"BA6","BA6",2022,20220412,74143,0.213384348499832,0.0270055114278204,0.126558070531783,"bbf"
"4h-1","7a","8b",1,"BA6","BA6",2022,20220517,75993,0.328517284495534,0.0367930070620016,0.111997172746939,"bbf"
"4h-1","7a","8b",1,"BA6","BA6",2022,20220529,72321,0.301754997068163,0.034859494539189,0.115522509578573,"bbf"
"4h-1","7a","8b",1,"BA6","BA6",2022,20220624,76140,0.238740921861267,0.0291712472360422,0.122187880521772,"bbf"
"12h-10","8a","8b",10,"PCW","PCW",2022,20220412,74140,0.20383170553422,0.0342000710581621,0.16778582590244,"bbf"
"12h-10","8a","8b",10,"PCW","PCW",2022,20220517,75996,0.517059127708549,0.0626777358446793,0.121219668091826,"bbf"
"12h-10","8a","8b",10,"PCW","PCW",2022,20220529,72317,0.53854911632931,0.0584087038335255,0.108455667389509,"bbf"
"12h-10","8a","8b",10,"PCW","PCW",2022,20220624,76141,0.466616156198578,0.091101675897797,0.195239008953275,"bbf"
"3h-5","7a","8b",5,"ECO","ECO",2022,20220412,74142,0.208244604889345,0.028591344748769,0.137296929079923,"bbf"
"3h-5","7a","8b",5,"ECO","ECO",2022,20220517,75998,0.321686691198855,0.0369592902009928,0.11489219545656,"bbf"
"3h-5","7a","8b",5,"ECO","ECO",2022,20220529,72319,0.295697055172179,0.0331820332822411,0.112216312952186,"bbf"
"3h-5","7a","8b",5,"ECO","ECO",2022,20220624,76141,0.242349916325962,0.0309815326955638,0.127838016885855,"bbf"
"7h-14","7a","8b",14,"REF_4","REF_4",2022,20220412,74143,0.194253020353715,0.0335343204679755,0.172632170181513,"mineral"
"7h-14","7a","8b",14,"REF_4","REF_4",2022,20220517,75999,0.507601992905357,0.0683398522038056,0.134632749987149,"mineral"
"7h-14","7a","8b",14,"REF_4","REF_4",2022,20220529,72319,0.518713693167596,0.0611088438845429,0.117808426284977,"mineral"
"7h-14","7a","8b",14,"REF_4","REF_4",2022,20220624,76140,0.411614668897703,0.055724529913811,0.135380330499494,"mineral"
"9h-9","8a","8b",9,"BVC","BVC",2022,20220412,74140,0.263079994246524,0.0310902949426335,0.118178104084569,"bbf"
"9h-9","8a","8b",9,"BVC","BVC",2022,20220517,75994,0.375486677676305,0.0373384452691405,0.0994401332697315,"bbf"
"9h-9","8a","8b",9,"BVC","BVC",2022,20220529,72319,0.327292504653463,0.0349936078428753,0.10691845167651,"bbf"
"9h-9","8a","8b",9,"BVC","BVC",2022,20220624,76139,0.254673868090904,0.0339068070629138,0.133138147690956,"bbf"
"6h-12","7a","8b",12,"REF_2","REF_2",2022,20220412,74140,0.208071028779251,0.0316398627585167,0.15206279770974,"mineral"
