"Treatment_2021","Treatment_2022","PLOT_ID","Block_a","Block_b","country.x","plot_number","timestamp","count","mean","median","std","Date","Year","Treatment","Yearreal","delta_time"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-03-31,40,0.250072711280414,0.249407830337683,0.0128476378463563,2021-03-31,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-04-07,40,0.305501068733176,0.306643458349364,0.0163402646894053,2021-04-07,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-04-14,39.9571428571429,0.445915129355022,0.441772128428732,0.0167697256430983,2021-04-14,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-04-21,39.9714285714286,0.24763898111525,0.243952663597607,0.0105919652219329,2021-04-21,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-04-28,40,0.342192940695697,0.341132164314514,0.0164344641820238,2021-04-28,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-05-05,40,0.357895246323417,0.356128636528464,0.0160883837653433,2021-05-05,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-05-12,40,0.343773843172718,0.340132426689653,0.0171028517378384,2021-05-12,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-05-19,40,0.418345770625735,0.446859287405882,0.0166239940827011,2021-05-19,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-05-26,40,0.678632394833998,0.688229390553066,0.0173585092619298,2021-05-26,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-06-02,40,0.758829972573689,0.755447428850901,0.0209837026805395,2021-06-02,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-06-09,40,0.795000699588231,0.794079908302852,0.0162406830959731,2021-06-09,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-06-16,40,0.80565228675093,0.80525504052639,0.015807898371436,2021-06-16,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-06-23,40,0.795870432147273,0.79582393610919,0.0169012080705552,2021-06-23,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-06-30,40,0.770659993385061,0.769722151760792,0.0217252445459303,2021-06-30,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-07-07,40,0.718500411564531,0.664305502358748,0.0231163692090432,2021-07-07,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-07-14,40,0.564028804086977,0.53849577812516,0.017183690536197,2021-07-14,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-07-21,40,0.444380162017686,0.443710418684142,0.0172615594430161,2021-07-21,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-07-28,40,0.357627818981806,0.357955326636632,0.0115145497644941,2021-07-28,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-08-04,40,0.325414867982978,0.327291279321625,0.0113660514332531,2021-08-04,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-08-11,39.9928571428571,0.29544359948728,0.294597429462842,0.0141280460969678,2021-08-11,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-08-18,39.9,0.281100611795079,0.295447224378586,0.0139593750238418,2021-08-18,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-08-25,39.9642857142857,0.284606789291163,0.293163468440374,0.0132067746127999,2021-08-25,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-09-01,40,0.289996818417595,0.295804128405594,0.014860999293714,2021-09-01,2021,"CON",2021,7
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022","denmark","25-9",2021-09-08,40,0.26897883557138,0.270793861103436,0.0117139245738231,2021-09-08,2021,"CON",2021,7
