"Treatment_2021","Treatment_2022","PLOT_ID","Block_a","Block_b","unique id","country.x","plot_number","Harvest_06082021_harvestable_grain_yield_15_moisture_kgha","Harvest_11082022_harvestable_grain_yield_15_moisture_kgha","timestamp","count","mean","std","Treatment"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-03-31,40,0.250072711280414,0.0128476378463563,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-04-07,40,0.305501068733176,0.0163402646894053,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-04-14,39.9571428571429,0.445915129355022,0.0167697256430983,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-04-21,39.9714285714286,0.24763898111525,0.0105919652219329,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-04-28,40,0.342192940695697,0.0164344641820238,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-05-05,40,0.357895246323417,0.0160883837653433,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-05-12,40,0.343773843172718,0.0171028517378384,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-05-19,40,0.418345770625735,0.0166239940827011,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-05-26,40,0.678632394833998,0.0173585092619298,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-06-02,40,0.758829972573689,0.0209837026805395,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-06-09,40,0.795000699588231,0.0162406830959731,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-06-16,40,0.80565228675093,0.015807898371436,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-06-23,40,0.795870432147273,0.0169012080705552,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-06-30,40,0.770659993385061,0.0217252445459303,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-07-07,40,0.718500411564531,0.0231163692090432,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-07-14,40,0.564028804086977,0.017183690536197,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-07-21,40,0.444380162017686,0.0172615594430161,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-07-28,40,0.357627818981806,0.0115145497644941,"CON"
"CON","MIN","10-a","Kontrol 2021","Mineral N 2022",9,"denmark","25-9",4604.615712,11383.77727,2021-08-04,40,0.325414867982978,0.0113660514332531,"CON"
