"Treatment_2021","Treatment_2022","PLOT_ID","Year_estab","Block_a","Block_b","Treatment order","Order original","unique id","country.x","plot_number","Anthesis_23062021_Biomass_dryweight_kgha","Harvest_06082021_harvestable_grain_yield_15_moisture_kgha","16-11-2021 Biomass dryweight (kg/ha)","Anthesis_31052022_Biomass_dryweight_kgha","Harvest_11082022_harvestable_grain_yield_15_moisture_kgha","Field sheet order","timestamp","country.y","count","max","mean","min","median","std","Date","Year_obs","Treatment","fertiliser_type"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-03-31,"denmark",6,0.279556309893018,0.266201019287109,0.251486945010367,0.265931666606948,0.0097381620933966,2021-03-31,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-04-07,"denmark",6,0.292481182181105,0.277530217809337,0.258183315548361,0.279768626908867,0.0117324559797285,2021-04-07,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-04-14,"denmark",6.04285714285714,0.430054759553501,0.412229379160064,0.377488106914929,0.408648107945919,0.0169565810489335,2021-04-14,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-04-21,"denmark",6.02857142857143,0.249765499858629,0.243053889558429,0.228372016761984,0.237826453220277,0.0077168753991524,2021-04-21,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-04-28,"denmark",6,0.362394661963487,0.348088371246552,0.335654020716413,0.347299710385689,0.0098809714139509,2021-04-28,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-05-05,"denmark",6,0.431096269803889,0.418595210594289,0.405635158805286,0.418839340700823,0.0088345472810461,2021-05-05,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-05-12,"denmark",6,0.487971902770155,0.481085679548628,0.473518413217629,0.481295915649218,0.0049838196376667,2021-05-12,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-05-19,"denmark",6,0.587641909240401,0.583031013408766,0.578296190373901,0.582638675965955,0.0032490418183014,2021-05-19,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-05-26,"denmark",6,0.77631583732444,0.766845289117846,0.759483251865808,0.764666728385083,0.0060276336679678,2021-05-26,2021,"BA6","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,2021-06-02,"denmark",6,0.84903548019273,0.839951887017205,0.832920870610646,0.839364971433367,0.0056115897494323,2021-06-02,2021,"BA6","bbf"
