"Treatment_2021","Treatment_2022","PLOT_ID","Year_estab","Block_a","Block_b","Treatment order","Order original","unique id","country.x","plot_number","Anthesis 23-06-2021 Biomass dryweight (kg/ha)","Harvest 06-08-2021 harvestable (grain) yield 15 % moisture (kg/ha)","16-11-2021 Biomass dryweight (kg/ha)","Anthesis 31-05-2022 Biomass dryweight (kg/ha)","Harvest 11-08-2022 harvestable (grain) yield 15 % moisture (kg/ha)","Field sheet order","timestamp","country.y","count","max","mean","min","median","std","Date","Year_obs","Treatment","Yearreal","fertiliser_type"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-09-01","denmark",6,0.528289379209888,0.515947761888407,0.495937644218912,0.514487015248156,0.0108757463773256,2021-09-01,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-09-08","denmark",6,0.418626686292035,0.404628801558699,0.382479765585491,0.403215546693121,0.0116531494256508,2021-09-08,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-09-15","denmark",6,0.3259142562747,0.313376106321812,0.298009991645813,0.314554139971733,0.0086121892672963,2021-09-15,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-09-22","denmark",6,0.285291227201621,0.276800207793713,0.266688677171866,0.27760707338651,0.0064269636835282,2021-09-22,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-09-29","denmark",6,0.33731282585197,0.321388507882754,0.300645359688335,0.322816140121884,0.0126723856147792,2021-09-29,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-10-06","denmark",6,0.379358905648428,0.358145098246279,0.330709955403729,0.359902721548837,0.016798717010441,2021-10-06,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-10-13","denmark",6,0.431782669254712,0.416649270625342,0.39849973150662,0.417939864453815,0.0112878721029985,2021-10-13,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-10-20","denmark",6,0.500412973073813,0.487952787142533,0.472434933368976,0.489322905357067,0.0093359061731741,2021-10-20,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-10-27","denmark",6,0.533082681588637,0.523307752742072,0.512968919197864,0.5243925167491,0.0066021111621396,2021-10-27,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-11-03","denmark",6,0.56964314977328,0.55766355080737,0.545302323169178,0.558881340755357,0.0082980642651414,2021-11-03,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-11-10","denmark",6,0.607972145080566,0.59156518181165,0.573908189932505,0.593106170495351,0.0120075392381598,2021-11-10,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-11-17","denmark",6,0.646301140387853,0.625466812815931,0.602514056695832,0.627331000235346,0.0157170142111782,2021-11-17,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-11-24","denmark",6,0.601588473917964,0.647094197942962,0.54119492098871,0.570640091268034,0.021362344422153,2021-11-24,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-12-01","denmark",6,0.539228710847405,0.641718242140043,0.471973640700945,0.500555862815907,0.023491317880913,2021-12-01,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-12-08","denmark",6,0.551354441505212,0.635524003278641,0.488846020056651,0.514893642411782,0.0219795358582184,2021-12-08,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-12-15","denmark",6,0.563480172163019,0.62932976441724,0.505718399412357,0.529231422007657,0.0204677538355239,2021-12-15,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-12-22","denmark",6,0.575605902820826,0.623135525555838,0.522590778768063,0.543569201603532,0.0189559718128293,2021-12-22,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2021-12-29","denmark",6,0.587731633478632,0.616941286694436,0.539463158123768,0.557906981199407,0.0174441897901348,2021-12-29,2021,"BA6","2021","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-01-05","denmark",6,0.599857364136439,0.610747047833034,0.556335537479474,0.572244760795282,0.0159324077674402,2022-01-05,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-01-12","denmark",6,0.611983094794246,0.604552808971632,0.57320791683518,0.586582540391156,0.0144206257447457,2022-01-12,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-01-19","denmark",6,0.628755519535024,0.605317543270013,0.587473662467776,0.601885266325713,0.0149680291555801,2022-01-19,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-01-26","denmark",6,0.65575067125834,0.621392018519915,0.596004813909531,0.619310874205369,0.0200456405201783,2022-01-26,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-02-02","denmark",6,0.635910376906395,0.600416585803032,0.563800945878029,0.601287752389908,0.0246135704219341,2022-02-02,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-02-09","denmark",6.21428571428571,0.442593354199614,0.425199687480927,0.404290777231966,0.424947297998837,0.0131088093455348,2022-02-09,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-02-16","denmark",6.21428571428571,0.407772704958916,0.353360884568908,0.366832607558795,0.386364240731512,0.0136042494393352,2022-02-16,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-02-23","denmark",6,0.515678795320647,0.443660302208616,0.465667011482375,0.498600981065205,0.0164041853775935,2022-02-23,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-03-02","denmark",6,0.523569820892243,0.513815786157336,0.498523079923221,0.514787642728715,0.0086328671424694,2022-03-02,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-03-09","denmark",6,0.518891352982748,0.500887440783637,0.485863829297679,0.499245508795693,0.0115913945871094,2022-03-09,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-03-16","denmark",6,0.462880502144496,0.445617094635963,0.426254868507385,0.445705915490786,0.0119338614555696,2022-03-16,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-03-23","denmark",6,0.418675840847076,0.406526984321693,0.393846555598198,0.406030238857345,0.0088092900483706,2022-03-23,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-03-30","denmark",6,0.436744383876286,0.429166072417819,0.420176203288729,0.429921494589912,0.0061631337841159,2022-03-30,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-04-06","denmark",6,0.460802032550176,0.448107375701269,0.440995067358017,0.445202400286992,0.0072442688358326,2022-04-06,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-04-13","denmark",6,0.495913163820903,0.478906617561976,0.469976246356964,0.475619832674662,0.0094427662591139,2022-04-13,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-04-20","denmark",6,0.503839290567807,0.491098957402365,0.477167325360434,0.49110513393368,0.0096187349575172,2022-04-20,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-04-27","denmark",6,0.513482822143302,0.501331721033369,0.489704633853873,0.501051571448239,0.009232560654969,2022-04-27,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-05-04","denmark",6,0.537627273068136,0.529643793191229,0.518363063432732,0.530491733429383,0.0069797757231364,2022-05-04,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-05-11","denmark",6,0.571375551844845,0.559223353987982,0.548398178665578,0.559645908469913,0.0079070506583187,2022-05-11,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-05-18","denmark",6,0.582286829457564,0.570407334495993,0.556967290008769,0.571824676850263,0.0086918209186371,2022-05-18,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-05-25","denmark",6,0.597167672980733,0.585955533159881,0.571326123065307,0.58803019052794,0.0088230153690522,2022-05-25,2022,"BA6","2022","bbf"
"BA6","BA6","13d-1",2021,"4a","4b",41,40,61,"denmark","26-61",6535.2,7820.680715,180.6133333,4366.613333,3157.762828,1,"2022-06-01","denmark",6,0.63176964862006,0.619903521878379,0.609193401677268,0.619774273463658,0.0086474889623267,2022-06-01,2022,"BA6","2022","bbf"
