"PLOT_ID","Block_a","Block_b","Treatment_ID","Treatment_2021","Treatment_2022","year_estab","date","count","mean","std","cv","fertiliser_type"
"1h-7","7a","8b",7,"BIO","BIO",2022,20220412,74143,0.45577173472647,0.092309187146942,0.202533812682221,"bbf"
"1h-7","7a","8b",7,"BIO","BIO",2022,20220517,75996,0.681010504364826,0.0844250543893144,0.12397026748957,"bbf"
"1h-7","7a","8b",7,"BIO","BIO",2022,20220529,72315,0.703434965946875,0.0650823001952335,0.0925207067402854,"bbf"
"1h-7","7a","8b",7,"BIO","BIO",2022,20220624,76140,0.608180766206872,0.0658034905759628,0.108197256855669,"bbf"
"5h-13","7a","8b",13,"REF_3","REF_3",2022,20220412,74142,0.476835236153106,0.0921540733500855,0.193261878240256,"mineral"
"5h-13","7a","8b",13,"REF_3","REF_3",2022,20220517,75996,0.814423807055155,0.078483070515305,0.0963663756332088,"mineral"
"5h-13","7a","8b",13,"REF_3","REF_3",2022,20220529,72320,0.795758682270163,0.0749821315868733,0.0942272239782067,"mineral"
"5h-13","7a","8b",13,"REF_3","REF_3",2022,20220624,76139,0.59434177477202,0.0761094813564496,0.128056758900456,"mineral"
"14h-4","8a","8b",4,"MO13","MO13",2022,20220412,74144,0.551878776298985,0.080501173986353,0.145867493811251,"bbf"
"14h-4","8a","8b",4,"MO13","MO13",2022,20220517,75997,0.770792860011059,0.0655865154008059,0.0850896768813672,"bbf"
"14h-4","8a","8b",4,"MO13","MO13",2022,20220529,72319,0.765907232531005,0.0591829324090597,0.0772716719405883,"bbf"
"14h-4","8a","8b",4,"MO13","MO13",2022,20220624,76139,0.708090088341988,0.0595187495215829,0.0840553349093583,"bbf"
"8h-8","8a","8b",8,"SDG","SDG",2022,20220412,74142,0.485917891467745,0.087956587138218,0.181011213381215,"bbf"
"8h-8","8a","8b",8,"SDG","SDG",2022,20220517,75997,0.827992464443388,0.0540962330538355,0.065334209400325,"bbf"
"8h-8","8a","8b",8,"SDG","SDG",2022,20220529,72315,0.825058682685009,0.0584585894571752,0.0708538564395589,"bbf"
"8h-8","8a","8b",8,"SDG","SDG",2022,20220624,76137,0.695801170859283,0.0755293610136585,0.108550206836219,"bbf"
"2h-2","7a","8b",2,"PAL","PAL",2022,20220412,74142,0.475469614430635,0.0925247067477091,0.194596466187446,"bbf"
"2h-2","7a","8b",2,"PAL","PAL",2022,20220517,76002,0.750949204223322,0.0813128084215028,0.108280038069421,"bbf"
"2h-2","7a","8b",2,"PAL","PAL",2022,20220529,72320,0.7496284075683,0.071454493228746,0.0953198845018899,"bbf"
"2h-2","7a","8b",2,"PAL","PAL",2022,20220624,76141,0.664639534972849,0.0572769034505492,0.0861773945675516,"bbf"
"13h-3","8a","8b",3,"FEK","FEK",2022,20220412,74144,0.547239052067058,0.0754056565451972,0.137792901037255,"bbf"
