"PLOT_ID","Block_a","Block_b","Treatment_ID","Treatment_2021","Treatment_2022","year_estab","date","count","mean","std","cv","fertiliser_type"
"10d-12","4a","4b",12,"REF_2","REF_2",2021,20220412,74138,0.413690414957747,0.0862362342212855,0.208455963936446,"mineral"
"10d-12","4a","4b",12,"REF_2","REF_2",2021,20220517,75993,0.524228178260875,0.0778854573786492,0.148571672810557,"mineral"
"10d-12","4a","4b",12,"REF_2","REF_2",2021,20220529,72317,0.496241993515052,0.0602769602825818,0.121466867113804,"mineral"
"10d-12","4a","4b",12,"REF_2","REF_2",2021,20220624,76139,0.391486543354389,0.0545830804980741,0.139425176738868,"mineral"
"2d-13","3a","4b",13,"REF_3","REF_3",2021,20220412,74142,0.540852004774153,0.106212574669852,0.196380107187,"mineral"
"2d-13","3a","4b",13,"REF_3","REF_3",2021,20220517,75994,0.654818196716248,0.100465157676461,0.153424504969882,"mineral"
"2d-13","3a","4b",13,"REF_3","REF_3",2021,20220529,72319,0.557022818867899,0.091147401372931,0.163633155205706,"mineral"
"2d-13","3a","4b",13,"REF_3","REF_3",2021,20220624,76139,0.375452738818858,0.0597365024938468,0.159105251653704,"mineral"
"9d-4","4a","4b",4,"MO13","MO13",2021,20220412,74139,0.517295384501026,0.087540198772462,0.169226715326103,"bbf"
"9d-4","4a","4b",4,"MO13","MO13",2021,20220517,75999,0.635714343121059,0.0823818795683086,0.129589461775948,"bbf"
"9d-4","4a","4b",4,"MO13","MO13",2021,20220529,72319,0.562959843412761,0.0755833722764155,0.134260681575822,"bbf"
"9d-4","4a","4b",4,"MO13","MO13",2021,20220624,76142,0.4268753029564,0.0771332078827111,0.18069259886555,"bbf"
"1d-5","3a","4b",5,"ECO","ECO",2021,20220412,74139,0.551185533013426,0.0995604112839491,0.180629579915923,"bbf"
"1d-5","3a","4b",5,"ECO","ECO",2021,20220517,75995,0.672433940186549,0.0873010796016819,0.129828484828506,"bbf"
"1d-5","3a","4b",5,"ECO","ECO",2021,20220529,72317,0.585443179165564,0.0811951521960103,0.138690064357293,"bbf"
"1d-5","3a","4b",5,"ECO","ECO",2021,20220624,76138,0.394646797446321,0.0543736779890314,0.137778079895421,"bbf"
"13d-1","4a","4b",1,"BA6","BA6",2021,20220412,74140,0.49679850370741,0.079244738402768,0.159510823425183,"bbf"
"13d-1","4a","4b",1,"BA6","BA6",2021,20220517,76000,0.629826391925153,0.0710463968368416,0.112803143449861,"bbf"
"13d-1","4a","4b",1,"BA6","BA6",2021,20220529,72319,0.593731687997439,0.0633614083112602,0.106717242135026,"bbf"
"13d-1","4a","4b",1,"BA6","BA6",2021,20220624,76139,0.528831311528534,0.060033610336146,0.113521285573324,"bbf"
"3d-3","3a","4b",3,"FEK","FEK",2021,20220412,74140,0.511029267909635,0.093027071504532,0.182038637209683,"bbf"
"3d-3","3a","4b",3,"FEK","FEK",2021,20220517,75999,0.610587757939337,0.0863471560670278,0.141416454791756,"bbf"
"3d-3","3a","4b",3,"FEK","FEK",2021,20220529,72316,0.51746785319887,0.0759020449737949,0.146679729966964,"bbf"
"3d-3","3a","4b",3,"FEK","FEK",2021,20220624,76141,0.362666182147669,0.0495409827405832,0.13660215696762,"bbf"
"8d-11","4a","4b",11,"REF_1","REF_1",2021,20220412,74141,0.412024210138239,0.0822291574962483,0.199573606290415,"control"
"8d-11","4a","4b",11,"REF_1","REF_1",2021,20220517,76001,0.515194714376013,0.0700594651752507,0.135986381886904,"control"
"8d-11","4a","4b",11,"REF_1","REF_1",2021,20220529,72319,0.481293842413845,0.0592791546121899,0.123166243546532,"control"
"8d-11","4a","4b",11,"REF_1","REF_1",2021,20220624,76139,0.379475893091801,0.0594037857866557,0.156541658819642,"control"
"11d-9","4a","4b",9,"BVC","BVC",2021,20220412,74141,0.447943243664292,0.0861965624474985,0.192427419470351,"bbf"
"11d-9","4a","4b",9,"BVC","BVC",2021,20220517,75995,0.550490513018255,0.0744190675464212,0.135186830265962,"bbf"
"11d-9","4a","4b",9,"BVC","BVC",2021,20220529,72319,0.501239364619843,0.0586328924024512,0.116975833386351,"bbf"
"11d-9","4a","4b",9,"BVC","BVC",2021,20220624,76140,0.392379040309598,0.0549533357165174,0.140051659418805,"bbf"
"5d-7","3a","4b",7,"BIO","BIO",2021,20220412,74143,0.45882012162973,0.093004139576408,0.202702835364014,"bbf"
"5d-7","3a","4b",7,"BIO","BIO",2021,20220517,75998,0.572075105925328,0.0794933618051488,0.138956163241134,"bbf"
"5d-7","3a","4b",7,"BIO","BIO",2021,20220529,72319,0.515796518619712,0.0667069085219339,0.129327954171625,"bbf"
"5d-7","3a","4b",7,"BIO","BIO",2021,20220624,76141,0.396367553998213,0.0571788686816804,0.144257187816988,"bbf"
"4d-6","3a","4b",6,"OG2","OG2",2021,20220412,74139,0.495804672962265,0.092134322669763,0.185827862652628,"bbf"
"4d-6","3a","4b",6,"OG2","OG2",2021,20220517,76002,0.602902752962609,0.0853865149275354,0.141625684254971,"bbf"
"4d-6","3a","4b",6,"OG2","OG2",2021,20220529,72318,0.529659273983385,0.0693171501366893,0.130871210118495,"bbf"
"4d-6","3a","4b",6,"OG2","OG2",2021,20220624,76142,0.393948478050768,0.0543425418045491,0.137943271347138,"bbf"
"12d-2","4a","4b",2,"137 kg N/ha*","137 kg N/ha*",2021,20220412,74138,0.430044906795099,0.0826351431318764,0.192154683908974,"mineral"
"12d-2","4a","4b",2,"137 kg N/ha*","137 kg N/ha*",2021,20220517,75998,0.570225336976188,0.0720319633879028,0.12632192699447,"mineral"
"12d-2","4a","4b",2,"137 kg N/ha*","137 kg N/ha*",2021,20220529,72318,0.539889706537676,0.0606741145018121,0.112382425089962,"mineral"
"12d-2","4a","4b",2,"137 kg N/ha*","137 kg N/ha*",2021,20220624,76140,0.445439040771237,0.06413089896697,0.143972335374854,"mineral"
"6d-14","3a","4b",14,"REF_4","REF_4",2021,20220412,74140,0.481237188912375,0.0917219732364328,0.190596186973268,"mineral"
"6d-14","3a","4b",14,"REF_4","REF_4",2021,20220517,75994,0.604463681324904,0.0797366071798257,0.131912982770203,"mineral"
"6d-14","3a","4b",14,"REF_4","REF_4",2021,20220529,72318,0.538202684594683,0.0699928946051674,0.130049322696855,"mineral"
"6d-14","3a","4b",14,"REF_4","REF_4",2021,20220624,76137,0.418440726896421,0.064431904246944,0.153980958605144,"mineral"
"14d-10","4a","4b",10,"PCW","PCW",2021,20220412,74141,0.531555066061625,0.0836839491711627,0.157432323599491,"bbf"
"14d-10","4a","4b",10,"PCW","PCW",2021,20220517,75999,0.691539118832012,0.0771474099310042,0.111558996201551,"bbf"
"14d-10","4a","4b",10,"PCW","PCW",2021,20220529,72318,0.623798347528046,0.0813169234701821,0.13035770901353,"bbf"
"14d-10","4a","4b",10,"PCW","PCW",2021,20220624,76139,0.531477216032938,0.0787821974094148,0.14823250185109,"bbf"
"7d-8","3a","4b",8,"SDG","SDG",2021,20220412,74139,0.467843119350337,0.0882556722449296,0.188643732470586,"bbf"
"7d-8","3a","4b",8,"SDG","SDG",2021,20220517,75995,0.572754501067021,0.0772478291380305,0.134870750023126,"bbf"
"7d-8","3a","4b",8,"SDG","SDG",2021,20220529,72319,0.502806954516363,0.0639867366914911,0.127259052637882,"bbf"
"7d-8","3a","4b",8,"SDG","SDG",2021,20220624,76139,0.393997441730423,0.0599537116842778,0.152167768960537,"bbf"
"2c-4","3a","3b",4,"MO13","MO13",2021,20220412,74141,0.553384946941464,0.103134957493019,0.186371093147802,"bbf"
"2c-4","3a","3b",4,"MO13","MO13",2021,20220517,75997,0.674302514680761,0.0930443907373265,0.137986124493955,"bbf"
"2c-4","3a","3b",4,"MO13","MO13",2021,20220529,72318,0.602367016745288,0.0864883446126677,0.143580810715669,"bbf"
"2c-4","3a","3b",4,"MO13","MO13",2021,20220624,76140,0.390519541036215,0.0653191052077939,0.167262065899377,"bbf"
"9c-7","4a","3b",7,"BIO","BIO",2021,20220412,74141,0.483180803810845,0.0846216840620428,0.175134615023262,"bbf"
"9c-7","4a","3b",7,"BIO","BIO",2021,20220517,75996,0.593140985169855,0.0780903273148092,0.131655591616969,"bbf"
"9c-7","4a","3b",7,"BIO","BIO",2021,20220529,72318,0.536570459061526,0.0663314460948412,0.12362112929373,"bbf"
"9c-7","4a","3b",7,"BIO","BIO",2021,20220624,76142,0.417883581864252,0.0610977294124591,0.146207537371752,"bbf"
"5c-10","3a","3b",10,"PCW","PCW",2021,20220412,74141,0.505292890801956,0.0893668437133757,0.17686147052562,"bbf"
