fid,boron,calcium,clay,copper,fineSand,humus,potassium,magnesium,phosphorus,rt,sand,totalN,zinc,silt,jb,coarseSand,altitude,sulfur,iron,manganese,molybdenum,sodium,ph,fiSoil,NDVI0517_uav,NDRE0517_uav,PLOT_ID,Block_a,Block_b,NDVI0412_uav,NDVI0529_uav,NDVI0624_uav,NDRE0412_uav,NDRE0529_uav,NDRE0624_uav,Treatment_2021,Treatment_2022,anthesis_23062021_biomass_dryweight_kgha,harvest_06082021_grainyield_15moisture_kgha,anthesis_31052022_biomassdryweight_kgha,harvest_11082022 _grainyield_15moisture_kgha,area
"1",1.939149,0,7.340442,0.883831,40.060322,1.816882,11.713271,3.202326,3.315415,5.828152,85.725708,0,0,5.11697,"4",45.665382,26.78928,,,,,,5.328152,"0",0.710554897743287,0.376051579728715,1h-7,7a,8b,0.45577173472647,0.703434965946875,0.608180766206872,0.20371982147505,0.344725655064719,0.280134739480778,BIO,BIO,,,"4522.613333","3762.029836",4.16496414592984
"2",1.916336,0,7.382643,0.868557,39.993198,1.818201,11.741618,3.21916,3.335056,5.822496,85.668922,0,0,5.130234,"3",45.675724,26.765692,,,,,,5.322496,"0",0.681094253347396,0.351127271755347,1h-7,7a,8b,0.45577173472647,0.703434965946875,0.608180766206872,0.20371982147505,0.344725655064719,0.280134739480778,BIO,BIO,,,"4522.613333","3762.029836",9.76542115728807
"3",1.912616,0,7.424138,0.866066,39.927197,1.819498,11.769491,3.235713,3.334203,5.822742,85.613091,0,0,5.143276,"3",45.68589,26.767939,,,,,,5.322742,"0",0.685568480021063,0.358096353239721,1h-7,7a,8b,0.45577173472647,0.703434965946875,0.608180766206872,0.20371982147505,0.344725655064719,0.280134739480778,BIO,BIO,,,"4522.613333","3762.029836",10.8131763308193
"4",1.927353,0,7.457149,0.875933,39.874691,1.82053,11.791665,3.248882,3.328317,5.824437,85.568672,0,0,5.153652,"3",45.693981,26.748863,,,,,,5.324437,"0",0.686175280755313,0.350955938039527,1h-7,7a,8b,0.45577173472647,0.703434965946875,0.608180766206872,0.20371982147505,0.344725655064719,0.280134739480778,BIO,BIO,,,"4522.613333","3762.029836",9.69017865497153
"5",1.907484,0,7.566631,0.86263,39.70055,1.823952,11.865207,3.292556,3.346377,5.819236,85.421356,0,0,5.188063,"3",45.720806,26.711407,,,,,,5.319236,"0",0.618540826345196,0.301701169201739,1h-7,7a,8b,0.45577173472647,0.703434965946875,0.608180766206872,0.20371982147505,0.344725655064719,0.280134739480778,BIO,BIO,,,"4522.613333","3762.029836",0.273180668707937
"6",1.916199,0,7.501827,0.868464,39.803623,1.821927,11.821677,3.266705,3.367975,5.813017,85.508553,0,0,5.167695,"3",45.704926,26.744783,,,,,,5.313017,"0",0.665519107832684,0.343211282546085,1h-7,7a,8b,0.45577173472647,0.703434965946875,0.608180766206872,0.20371982147505,0.344725655064719,0.280134739480778,BIO,BIO,,,"4522.613333","3762.029836",8.30646658618934
"7",1.901453,0,7.539411,0.858592,39.743843,1.823101,11.846923,3.281698,3.369313,5.812632,85.457977,0,0,5.179508,"3",45.714134,26.744841,,,,,,5.312632,"0",0.674148957579699,0.350617465000111,1h-7,7a,8b,0.45577173472647,0.703434965946875,0.608180766206872,0.20371982147505,0.344725655064719,0.280134739480778,BIO,BIO,,,"4522.613333","3762.029836",10.118566572608
"8",1.893253,0,7.569147,0.853102,39.696548,1.824031,11.866897,3.29356,3.368681,5.812814,85.417969,0,0,5.188854,"3",45.72142,26.725592,,,,,,5.312814,"0",0.661997771257027,0.335080936452045,1h-7,7a,8b,0.45577173472647,0.703434965946875,0.608180766206872,0.20371982147505,0.344725655064719,0.280134739480778,BIO,BIO,,,"4522.613333","3762.029836",10.5301768241334
"9",2.048869,0,7.532022,0.95729,39.755596,1.82287,11.84196,3.27875,3.447306,5.790174,85.467918,0,0,5.177185,"3",45.712326,26.707054,,,,,,5.290174,"0",0.82271606717817,0.501608773805984,5h-13,7a,8b,0.476835236153106,0.795758682270163,0.59434177477202,0.214010127526265,0.469816519882513,0.314030391666524,REF_3,REF_3,,,"5036.546667","4033.874979",4.78033339791
"10",2.051448,0,7.535473,0.959017,39.750107,1.822978,11.844277,3.280127,3.407824,5.801543,85.46328,0,0,5.17827,"3",45.713169,26.756516,,,,,,5.301543,"0",0.787607714005328,0.460316115855058,5h-13,7a,8b,0.476835236153106,0.795758682270163,0.59434177477202,0.214010127526265,0.469816519882513,0.314030391666524,REF_3,REF_3,,,"5036.546667","4033.874979",12.1675160214654
