fid,id,boron,calcium,clay,copper,fineSand,humus,potassium,magnesium,phosphorus,rt,sand,totalN,zinc,silt,jb,coarseSand,altitude,sulfur,iron,manganese,molybdenum,sodium,ph,fiSoil,NDRE0517_b1_count,NDRE0517_b1_mean,NDRE0517_b1_stdev,NDVI_b1_count,NDVI_b1_mean,NDVI_b1_stdev,T_2021,T_2022,PLOT_ID,n,distance,feature_x,feature_y,nearest_x,nearest_y
"27",,5.234733,0,13.952681,1.951393,40.84972,3.302611,12.514415,5.503012,2.397766,6.431337,74.352135,0,0,8.392577,"6",33.502411,22.262482,,,,,,5.931337,"0",15957,0.605537830761682,0.0618366727845798,15957,0.90541664435465,0.0465998870921964,Control,Mineral,1-a,"1",0,12.2885521422913,55.6733088523176,12.2885521422913,55.6733088523176
"29",,5.300308,0,13.966311,1.964986,40.926224,3.36742,12.53449,5.549156,2.429663,6.430686,74.305031,0,0,8.36124,"6",33.378807,22.198156,,,,,,5.930686,"0",15959,0.637231947403293,0.0247478961807767,15959,0.930807762112681,0.0166371465091112,Control,Mineral,1-a,"1",0,12.288554316375,55.6732774385677,12.288554316375,55.6732774385677
"31",,5.335213,0,13.972829,1.972221,40.962814,3.401917,12.546339,5.596171,2.444919,6.430301,74.282501,0,0,8.342751,"6",33.319691,22.133507,,,,,,5.930301,"0",15955,0.635916053524065,0.029690681815278,15954,0.93103029658595,0.0199476407052455,Control,Mineral,1-a,"1",0,12.2885564904544,55.6732460248176,12.2885564904544,55.6732460248176
"34",,5.341259,0,13.957318,1.973475,40.875751,3.407893,12.400831,5.611862,2.40862,6.435024,74.336105,0,0,8.298685,"6",33.46035,22.094517,,,,,,5.935024,"0",15953,0.62713260065685,0.038876981868171,15953,0.923060639871667,0.0258490151224655,Control,Mineral,1-a,"1",0,12.2885586645295,55.6732146110673,12.2885586645295,55.6732146110673
"47",,5.207088,0,13.917937,1.945662,40.654705,3.275288,12.334002,5.503327,2.316458,6.437194,74.472198,0,0,8.334579,"6",33.81749,22.29701,,,,,,5.937194,"0",15953,0.619655394710314,0.0470448717559014,15953,0.916899744716175,0.0318778709250682,Control,Mineral,1-a,"1",0,12.2886077301011,55.6733100809486,12.2886077301011,55.6733100809486
"49",,5.264867,0,13.93471,1.957639,40.748852,3.332393,12.388135,5.550384,2.355711,6.435437,74.41423,0,0,8.318664,"6",33.665382,22.230356,,,,,,5.935437,"0",15954,0.624208658466636,0.0243715661180257,15954,0.924608161265022,0.0178761272924979,Control,Mineral,1-a,"1",0,12.2886099041403,55.6732786671973,12.2886099041403,55.6732786671973
"51",,5.295961,0,13.946491,1.964085,40.81498,3.363124,12.443704,5.596808,2.383281,6.433633,74.37352,0,0,8.316865,"6",33.55854,22.167215,,,,,,5.933633,"0",15961,0.636274195954985,0.0282940803786638,15961,0.929239422174394,0.0191685505464947,Control,Mineral,1-a,"1",0,12.2886120781753,55.6732472534458,12.2886120781753,55.6732472534458
"53",,5.301692,0,13.939267,1.965273,40.774429,3.368788,12.363032,5.614105,2.366375,6.436251,74.398483,0,0,8.29346,"6",33.624054,22.128956,,,,,,5.936251,"0",15955,0.602325103631105,0.0421967257444399,15955,0.907296831598105,0.0324352529369875,Control,Mineral,1-a,"1",0,12.288614252206,55.673215839694,12.288614252206,55.673215839694
"66",,5.232735,0,13.874692,1.950978,40.411964,3.300636,11.872895,5.524835,2.215252,6.452161,74.621643,0,0,8.203031,"6",34.209675,22.089828,,,,,,5.952161,"0",15956,0.582932045917204,0.0409592039568788,15956,0.905665030363479,0.0290663600141751,OG2,OG2_residual,1-b,"1",0,12.2886229482856,55.6730901846849,12.2886229482856,55.6730901846849
"68",,5.222775,0,13.875754,1.948914,40.417931,3.290793,11.913114,5.497563,2.217738,6.450856,74.617973,0,0,8.215484,"6",34.200039,22.094301,,,,,,5.950856,"0",15955,0.616804227065756,0.031332270002083,15956,0.924453300621672,0.0192018050192813,OG2,OG2_residual,1-b,"1",0,12.2886251222948,55.6730587709321,12.2886251222948,55.6730587709321
"71",,5.145214,0,13.876029,1.932836,40.419476,3.214138,12.141252,5.444935,2.218382,6.44345,74.61702,0,0,8.292814,"6",34.197544,22.361055,,,,,,5.94345,"0",15957,0.582176233194089,0.0391891988968592,15956,0.895864025359765,0.0319902275532251,Control,Mineral,1-a,"1",0,12.2886611439161,55.673342723307,12.2886611439161,55.673342723307
"73",,5.175833,0,13.88058,1.939183,40.445019,3.244399,12.144036,5.499717,2.229033,6.44336,74.601295,0,0,8.273728,"6",34.156273,22.33264,,,,,,5.94336,"0",15954,0.629322014434289,0.0318618382828681,15954,0.924405837740473,0.0215191048710833,Control,Mineral,1-a,"1",0,12.2886633179152,55.6733113095545,12.2886633179152,55.6733113095545
"75",,5.23,0,13.902469,1.950412,40.567879,3.297934,12.237978,5.550704,2.280257,6.44031,74.52565,0,0,8.273946,"6",33.957775,22.264603,,,,,,5.94031,"0",15951,0.62400664822688,0.0287499806842585,15952,0.922326206451015,0.0222967569982485,Control,Mineral,1-a,"1",0,12.28866549191,55.6732798958017,12.28866549191,55.6732798958017
"77",,5.259475,0,13.921957,1.956522,40.677269,3.327064,12.350154,5.59692,2.325865,6.436669,74.458305,0,0,8.292675,"6",33.781036,22.203173,,,,,,5.936669,"0",15954,0.627997691165509,0.0284348170501496,15954,0.926188691477287,0.0190847937917114,Control,Mineral,1-a,"1",0,12.2886676659005,55.6732484820488,12.2886676659005,55.6732484820488
"79",,5.266901,0,13.926599,1.958061,40.703323,3.334403,12.35498,5.614674,2.336729,6.436513,74.442261,0,0,8.296736,"6",33.738937,22.165268,,,,,,5.936513,"0",15956,0.629290786915239,0.038283976001431,15956,0.922617588635823,0.0254760732294016,Control,Mineral,1-a,"1",0,12.2886698398868,55.6732170682956,12.2886698398868,55.6732170682956
"85",,5.242723,0,13.909948,1.953049,40.609863,3.310508,12.131495,5.580641,2.297763,6.443767,74.499802,0,0,8.279742,"6",33.889938,22.123861,,,,,,5.943767,"0",15951,0.617375598434864,0.0316354363135764,15951,0.923968649842464,0.0212071091430949,OG2,OG2_residual,1-b,"1",0,12.2886763618196,55.6731228270348,12.2886763618196,55.6731228270348
"87",,5.204923,0,13.894448,1.945213,40.522861,3.273149,12.105518,5.560172,2.261489,6.44461,74.553368,0,0,8.279037,"6",34.030502,22.123186,,,,,,5.94461,"0",15955,0.601825668364623,0.0377244638714606,15955,0.915915920027593,0.0266933506372963,OG2,OG2_residual,1-b,"1",0,12.2886785357887,55.6730914132807,12.2886785357887,55.6730914132807
"90",,5.195334,0,13.899776,1.943226,40.552765,3.263673,12.173652,5.533848,2.273956,6.442399,74.534958,0,0,8.301596,"6",33.982193,22.123816,,,,,,5.942399,"0",15958,0.616596696434022,0.0286445501351075,15957,0.924759841991739,0.018433623741839,OG2,OG2_residual,1-b,"1",0,12.2886807097534,55.6730599995264,12.2886807097534,55.6730599995264
"96",,5.188611,0,13.918323,1.941832,40.656868,3.257027,12.300132,5.469092,2.317359,6.438293,74.470863,0,0,8.353786,"6",33.813999,22.110447,,,,,,5.938293,"0",15951,0.607701343792328,0.0292475369710403,15951,0.919586630340176,0.0217055194535994,OG2,OG2_residual,1-b,"1",0,12.2886828837138,55.673028585772,12.2886828837138,55.673028585772
"98",,5.206786,0,13.972782,1.945599,40.962551,3.27499,12.591789,5.385452,2.444809,6.428826,74.282669,0,0,8.469563,"6",33.320118,22.080807,,,,,,5.928826,"0",15951,0.594698702563732,0.0353257487030796,15951,0.911358589479882,0.0257793174782714,OG2,OG2_residual,1-b,"1",0,12.28868505767,55.6729971720173,12.28868505767,55.6729971720173
"101",,5.130252,0,13.844311,1.929735,40.24144,3.19935,11.95439,5.426293,2.144154,6.449516,74.726631,0,0,8.22971,"6",34.485188,22.404495,,,,,,5.949516,"0",15953,0.637722738531326,0.0266009801718175,15953,0.924027006730595,0.0208584444690143,Control,Mineral,1-a,"1",0,12.288716731779,55.6733439518892,12.288716731779,55.6733439518892
"103",,5.161202,0,13.855161,1.93615,40.302341,3.229939,12.004655,5.488731,2.169546,6.447885,74.689133,0,0,8.225766,"6",34.386791,22.368387,,,,,,5.947885,"0",15955,0.637624745218031,0.0285121444796034,15955,0.925999863672242,0.0209887494607177,Control,Mineral,1-a,"1",0,12.2887189057336,55.6733125381352,12.2887189057336,55.6733125381352
"104",,5.187212,0,14.020139,1.941542,41.228363,3.255646,12.977721,5.278451,2.555636,6.416298,74.119011,0,0,8.605204,"6",32.890648,21.999983,,,,,,5.916298,"0",15953,0.444302613536205,0.0258618028967702,15953,0.801654487764216,0.0441744252745677,Mineral,OG2,1-c,"1",0,12.2886915795126,55.6729029307518,12.2886915795126,55.6729029307518
"105",,5.21243,0,13.881629,1.946769,40.450905,3.280569,12.135252,5.543642,2.231487,6.443645,74.597672,0,0,8.240134,"6",34.146763,22.299763,,,,,,5.943645,"0",15956,0.617723379399012,0.0285216389451982,15955,0.920785446661612,0.0211706542022569,Control,Mineral,1-a,"1",0,12.288721079684,55.673281124381,12.288721079684,55.673281124381
"107",,5.2433,0,13.907928,1.953169,40.598518,3.311078,12.291547,5.590198,2.293032,6.438572,74.50679,0,0,8.274208,"6",33.908268,22.240513,,,,,,5.938572,"0",15954,0.640793176795421,0.0252485462071945,15954,0.930236625132651,0.0166969640844277,Control,Mineral,1-a,"1",0,12.2887232536301,55.6732497106266,12.2887232536301,55.6732497106266
"109",,5.255551,0,13.922373,1.955708,40.6796,3.323186,12.36078,5.609606,2.326838,6.436325,74.456871,0,0,8.297574,"6",33.777267,22.203703,,,,,,5.936325,"0",15950,0.618689295232857,0.0369260762542756,15950,0.918471785742661,0.0255463827247869,Control,Mineral,1-a,"1",0,12.2887254275719,55.673218296872,12.2887254275719,55.673218296872
"115",,5.237198,0,13.926919,1.951904,40.70512,3.305047,12.292582,5.599928,2.337479,6.438538,74.441154,0,0,8.326879,"6",33.736034,22.161964,,,,,,5.938538,"0",15951,0.601508092726296,0.042550414789345,15951,0.914703884073787,0.0295479720996049,OG2,OG2_residual,1-b,"1",0,12.2887319493714,55.6731240556069,12.2887319493714,55.6731240556069
"117",,5.200481,0,13.917347,1.944293,40.65139,3.268759,12.304461,5.586076,2.315077,6.438153,74.474236,0,0,8.339659,"6",33.822842,22.160017,,,,,,5.938153,"0",15952,0.612242868347626,0.0329092550784589,15952,0.920888997775053,0.0219106765003437,OG2,OG2_residual,1-b,"1",0,12.288734123296,55.6730926418514,12.288734123296,55.6730926418514
"119",,5.192583,0,13.925691,1.942655,40.698227,3.260953,12.387811,5.560748,2.334604,6.435447,74.445396,0,0,8.367956,"6",33.747173,22.157154,,,,,,5.935447,"0",15956,0.615072481343548,0.0297074033576346,15956,0.923989159443319,0.0195874247485922,OG2,OG2_residual,1-b,"1",0,12.2887362972163,55.6730612280957,12.2887362972163,55.6730612280957
