"PLOT_ID","peak_value_2021","peak_value_2022","Treatment_2021","Treatment_2022","Block_a","Block_b","Harvest_2021","Harvest_2022","plot_number","country.x"
"1-a",0.592489229308234,0.689339358359575,"CON","MIN","Kontrol 2021","Mineral N 2022",5200.964024,11418.0187,"25-8","denmark"
"1-b",0.657951399683952,0.62943852879107,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7393.578787,8924.994896,"25-15","denmark"
"1-c",0.698743522167206,0.583342980593443,"MIN","OG2","Mineral N 2021","OG2 2022",7127.123049,7836.879709,"25-24","denmark"
"1-d",0.709819868206978,0.552682716399431,"MIN","CON","Mineral N 2021","Kontrol 2022",7965.740335,5823.130175,"25-39","denmark"
"10-a",0.593117531802919,0.689232839271426,"CON","MIN","Kontrol 2021","Mineral N 2022",4604.615712,11383.77727,"25-9","denmark"
"10-b",0.685142979025841,0.639596422513326,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",8122.512038,9187.544554,"25-14","denmark"
"10-c",0.719610869884491,0.584886251017451,"MIN","OG2","Mineral N 2021","OG2 2022",8178.184763,7577.339196,"25-23","denmark"
"10-d",0.705793455243111,0.564644327387214,"MIN","CON","Mineral N 2021","Kontrol 2022",8515.967421,5429.707342,"25-40","denmark"
"2-a",0.551596062050925,0.679118897765875,"CON","MIN","Kontrol 2021","Mineral N 2022",4012.32921,11234.54926,"25-10","denmark"
"2-b",0.657984405755997,0.62553321197629,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7627.88386,7267.710129,"25-18","denmark"
"2-c",0.701935335993767,0.56043420235316,"MIN","OG2","Mineral N 2021","OG2 2022",7955.007152,6815.007548,"25-28","denmark"
"2-d",0.714823067188263,0.529944667592645,"MIN","CON","Mineral N 2021","Kontrol 2022",8140.264713,4186.114722,"25-31","denmark"
"3-a",0.542283707194858,0.679677689447999,"CON","MIN","Kontrol 2021","Mineral N 2022",4174.386598,11835.51937,"25-2","denmark"
"3-b",0.657975867390633,0.619091955944896,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7527.964107,9442.204736,"25-19","denmark"
"3-c",0.705385759472847,0.538129976019263,"MIN","OG2","Mineral N 2021","OG2 2022",8164.174178,7757.297837,"25-25","denmark"
"3-d",0.696812286973,0.498791541904211,"MIN","CON","Mineral N 2021","Kontrol 2022",6657.748123,4296.081466,"25-34","denmark"
"4-a",0.535424927870432,0.68187559582293,"CON","MIN","Kontrol 2021","Mineral N 2022",4009.933558,11132.41006,"25-3","denmark"
"4-b",0.655690744519234,0.620653877655665,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7151.656096,9289.111851,"25-12","denmark"
"4-c",0.713569611310959,0.552776928991079,"MIN","OG2","Mineral N 2021","OG2 2022",8239.447633,6486.365166,"25-29","denmark"
"4-d",0.706754475831985,0.513739152811468,"MIN","CON","Mineral N 2021","Kontrol 2022",6617.49475,3192.727866,"25-33","denmark"
"5-a",0.533480336268743,0.677131026983261,"CON","MIN","Kontrol 2021","Mineral N 2022",4587.078373,10244.04599,"25-4","denmark"
"5-b",0.658472239971161,0.601005086675286,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7329.965338,7716.64548,"25-20","denmark"
"5-c",0.706537544727325,0.536420330405235,"MIN","OG2","Mineral N 2021","OG2 2022",8147.664345,5937.744473,"25-30","denmark"
"5-d",0.702491655945778,0.506703685037792,"MIN","CON","Mineral N 2021","Kontrol 2022",7533.026887,3345.674765,"25-37","denmark"
"6-a",0.530211392376158,0.666986417025328,"CON","MIN","Kontrol 2021","Mineral N 2022",4137.499066,10509.72365,"25-1","denmark"
"6-b",0.648407578468323,0.596242301166058,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7354.3675,8451.314343,"25-17","denmark"
"6-c",0.692769676446915,0.507186211645603,"MIN","OG2","Mineral N 2021","OG2 2022",7328.972979,6720.222725,"25-27","denmark"
"6-d",0.692079558968544,0.489603702910244,"MIN","CON","Mineral N 2021","Kontrol 2022",7388.092225,4831.883004,"25-32","denmark"
"7-a",0.550170163313548,0.681570304557681,"CON","MIN","Kontrol 2021","Mineral N 2022",4346.6321,10103.7397,"25-5","denmark"
"7-b",0.661628410220146,0.612924760207534,"OG2","OG2_residual","OG2 2021","OG2 andet 2022",7889.513578,9316.834389,"25-11","denmark"
"7-c",0.693447768688202,0.529419932514429,"MIN","OG2","Mineral N 2021","OG2 2022",7640.91613,7866.591689,"25-22","denmark"
"7-d",0.666432758172353,0.494682825170457,"MIN","CON","Mineral N 2021","Kontrol 2022",6353.717476,4914.990194,"25-38","denmark"
"8-a",0.566232052114275,0.687839802354574,"CON","MIN","Kontrol 2021","Mineral N 2022",4459.982765,11156.05453,"25-6","denmark"
